holding_months,rebalance_date,ticker,trade_size,signal_prob_up,signal_median_return,buy_date,buy_price,sell_target,sell_date,sell_price,shares,invested,value,pnl,return_pct,open,spy_buy_price,spy_sell_price,spy_value,spy_pnl,spy_return_pct,excess_return,beat_spy
1,2025-10-01,GOOGL,175000.0,0.815,0.03962101200951773,2025-10-01,244.4218,2025-11-01,2025-11-03,283.166,0.409129,100.0,115.8514,15.8514,0.158514,False,664.6655,679.4711,102.2275,2.2275,0.022275,0.136238,True
1,2025-10-01,AAPL,175000.0,0.705,0.023013443195879946,2025-10-01,254.7294,2025-11-01,2025-11-03,268.291,0.392574,100.0,105.3239,5.3239,0.053239,False,664.6655,679.4711,102.2275,2.2275,0.022275,0.030964,True
1,2025-10-15,GOOGL,175000.0,0.764,0.033457967867530636,2025-10-15,250.5398,2025-11-15,2025-11-17,284.4634,0.399138,100.0,113.5402,13.5402,0.135402,False,661.404,661.9011,100.0752,0.0752,0.000752,0.13465,True
1,2025-10-15,AAPL,175000.0,0.662,0.01831919421285555,2025-10-15,248.6366,2025-11-15,2025-11-17,266.964,0.402193,100.0,107.3712,7.3712,0.073712,False,661.404,661.9011,100.0752,0.0752,0.000752,0.07296,True
1,2025-11-01,STX,32500.0,0.731,0.06257411444673466,2025-11-03,264.3939,2025-12-01,2025-12-01,268.9241,0.378224,100.0,101.7134,1.7134,0.017134,False,679.4711,676.4185,99.5507,-0.4493,-0.004493,0.021627,True
1,2025-11-01,GOOGL,32500.0,0.797,0.040357915046904225,2025-11-03,283.166,2025-12-01,2025-12-01,314.2751,0.35315,100.0,110.9862,10.9862,0.109862,False,679.4711,676.4185,99.5507,-0.4493,-0.004493,0.114355,True
1,2025-11-15,GOOGL,175000.0,0.752,0.03530523231062932,2025-11-17,284.4634,2025-12-15,2025-12-15,307.8193,0.351539,100.0,108.2105,8.2105,0.082105,False,661.9011,676.8759,102.2624,2.2624,0.022624,0.059481,True
1,2025-11-15,AAPL,375000.0,0.708,0.02166581366267195,2025-11-17,266.964,2025-12-15,2025-12-15,273.6017,0.374582,100.0,102.4864,2.4864,0.024864,False,661.9011,676.8759,102.2624,2.2624,0.022624,0.00224,True
1,2025-12-01,AAPL,32500.0,0.706,0.021073733096371505,2025-12-01,282.575,2026-01-01,2026-01-02,270.5074,0.353888,100.0,95.7294,-4.2706,-0.042706,False,676.4185,681.3093,100.723,0.723,0.00723,-0.049936,False
1,2025-12-01,CSCO,32500.0,0.667,0.016163207998135753,2025-12-01,75.2276,2026-01-01,2026-01-02,75.6302,1.329299,100.0,100.5351,0.5351,0.005351,False,676.4185,681.3093,100.723,0.723,0.00723,-0.001879,False
1,2025-12-15,JNJ,32500.0,0.849,0.0257925018263514,2025-12-15,211.8193,2026-01-15,2026-01-15,217.16,0.472101,100.0,102.5214,2.5214,0.025214,False,676.8759,690.3546,101.9913,1.9913,0.019913,0.0053,True
1,2025-12-15,COF,75000.0,0.567,0.007650550759454866,2025-12-15,237.8748,2026-01-15,2026-01-15,235.0578,0.420389,100.0,98.8157,-1.1843,-0.011843,False,676.8759,690.3546,101.9913,1.9913,0.019913,-0.031756,False
1,2026-01-01,GOOGL,175000.0,0.708,0.028974691663207652,2026-01-02,314.7403,2026-02-01,2026-02-02,343.2432,0.317722,100.0,109.056,9.056,0.09056,False,681.3093,693.516,101.7916,1.7916,0.017916,0.072644,True
1,2026-01-01,NVDA,8000.0,0.501,0.00026891810838791663,2026-01-02,188.6199,2026-02-01,2026-02-02,185.3839,0.530167,100.0,98.2843,-1.7157,-0.017157,False,681.3093,693.516,101.7916,1.7916,0.017916,-0.035073,False
