rule,rebalance_date,ticker,signal_prob_up,signal_median_return,buy_date,buy_price,exit_date,exit_price,exit_reason,hold_days,invested,value,pnl,return_pct,open,spy_value,spy_pnl,spy_return_pct,excess_return,beat_spy
time_1m,2025-10-01,GOOGL,0.815,0.03962102370268883,2025-10-01,244.4218,2025-11-03,283.1659,time,33,100.0,115.8514,15.8514,0.158514,False,102.2275,2.2275,0.022275,0.136238,True
time_1m,2025-10-01,AAPL,0.705,0.02301343664636124,2025-10-01,254.7293,2025-11-03,268.291,time,33,100.0,105.3239,5.3239,0.053239,False,102.2275,2.2275,0.022275,0.030964,True
time_1m,2025-10-15,GOOGL,0.764,0.03345797853406318,2025-10-15,250.5398,2025-11-17,284.4634,time,33,100.0,113.5402,13.5402,0.135402,False,100.0752,0.0752,0.000752,0.134651,True
time_1m,2025-10-15,AAPL,0.662,0.018319187647050317,2025-10-15,248.6366,2025-11-17,266.964,time,33,100.0,107.3712,7.3712,0.073712,False,100.0752,0.0752,0.000752,0.07296,True
time_1m,2025-11-01,STX,0.731,0.06257411444673466,2025-11-03,264.3939,2025-12-03,257.5439,time,30,100.0,97.4092,-2.5908,-0.025908,False,100.0805,0.0805,0.000805,-0.026713,False
time_1m,2025-11-01,GOOGL,0.797,0.04035792914395753,2025-11-03,283.1659,2025-12-03,319.0058,time,30,100.0,112.6569,12.6569,0.126569,False,100.0805,0.0805,0.000805,0.125764,True
time_1m,2025-11-15,GOOGL,0.752,0.03530521948545928,2025-11-17,284.4634,2025-12-17,296.3343,time,30,100.0,104.1731,4.1731,0.041731,False,100.8608,0.8608,0.008608,0.033123,True
time_1m,2025-11-15,AAPL,0.708,0.021665805844635955,2025-11-17,266.964,2025-12-17,271.3359,time,30,100.0,101.6376,1.6376,0.016376,False,100.8608,0.8608,0.008608,0.007768,True
time_1m,2025-12-01,AAPL,0.706,0.02107373330221396,2025-12-01,282.575,2026-01-02,270.5074,time,32,100.0,95.7294,-4.2706,-0.042706,False,100.723,0.723,0.00723,-0.049936,False
time_1m,2025-12-01,CSCO,0.667,0.016163207998135753,2025-12-01,75.2276,2026-01-02,75.6302,time,32,100.0,100.5351,0.5351,0.005351,False,100.723,0.723,0.00723,-0.001879,False
time_1m,2025-12-15,JNJ,0.849,0.025792512729819084,2025-12-15,211.8193,2026-01-15,217.16,time,31,100.0,102.5214,2.5214,0.025214,False,101.9913,1.9913,0.019913,0.0053,True
time_1m,2025-12-15,COF,0.567,0.007650550602458006,2025-12-15,237.8748,2026-01-15,235.0578,time,31,100.0,98.8157,-1.1843,-0.011843,False,101.9913,1.9913,0.019913,-0.031756,False
time_1m,2026-01-01,GOOGL,0.708,0.028974689822372612,2026-01-02,314.7403,2026-02-02,343.2432,time,31,100.0,109.056,9.056,0.09056,False,101.7916,1.7916,0.017916,0.072644,True
time_1m,2026-01-01,NVDA,0.501,0.00026891863854916487,2026-01-02,188.6199,2026-02-02,185.3839,time,31,100.0,98.2844,-1.7156,-0.017156,False,101.7916,1.7916,0.017916,-0.035073,False
time_1m,2026-01-15,PRU,0.736,0.017773383395647713,2026-01-15,113.3272,2026-02-17,101.8814,time,33,100.0,89.9002,-10.0998,-0.100998,False,98.6435,-1.3565,-0.013565,-0.087433,False
time_1m,2026-01-15,ACN,0.641,0.01649994310430447,2026-01-15,285.3501,2026-02-17,218.0409,time,33,100.0,76.4117,-23.5883,-0.235883,False,98.6435,-1.3565,-0.013565,-0.222318,False
