rule,rebalance_date,ticker,signal_prob_up,signal_median_return,buy_date,buy_price,exit_date,exit_price,exit_reason,hold_days,invested,value,pnl,return_pct,open,spy_value,spy_pnl,spy_return_pct,excess_return,beat_spy
time_1m,2025-10-01,OPEN,0.69,0.2293874565983436,2025-10-01,8.06,2025-11-03,7.59,time,33,100.0,94.1687,-5.8313,-0.058313,False,102.2275,2.2275,0.022275,-0.080588,False
time_1m,2025-10-01,GOOGL,0.815,0.03962102293863001,2025-10-01,244.4218,2025-11-03,283.1659,time,33,100.0,115.8514,15.8514,0.158514,False,102.2275,2.2275,0.022275,0.136238,True
time_1m,2025-10-01,AAPL,0.705,0.023013427768410644,2025-10-01,254.7293,2025-11-03,268.291,time,33,100.0,105.3239,5.3239,0.053239,False,102.2275,2.2275,0.022275,0.030964,True
time_1m,2025-10-01,AVGO,0.63,0.021312589148331673,2025-10-01,332.0568,2025-11-03,361.1001,time,33,100.0,108.7465,8.7465,0.087465,False,102.2275,2.2275,0.022275,0.06519,True
time_1m,2025-10-01,ORCL,0.564,0.01911171614543239,2025-10-01,286.7472,2025-11-03,256.2751,time,33,100.0,89.3732,-10.6268,-0.106268,False,102.2275,2.2275,0.022275,-0.128543,False
time_1m,2025-10-01,NVDA,0.64,0.01657848381301541,2025-10-01,187.0015,2025-11-03,206.6165,time,33,100.0,110.4892,10.4892,0.104892,False,102.2275,2.2275,0.022275,0.082617,True
time_1m,2025-10-01,UNH,0.59,0.01613386457493915,2025-10-01,343.3049,2025-11-03,329.003,time,33,100.0,95.8341,-4.1659,-0.041659,False,102.2275,2.2275,0.022275,-0.063935,False
time_1m,2025-10-01,QCOM,0.558,0.005837998218980012,2025-10-01,163.9813,2025-11-03,177.9968,time,33,100.0,108.547,8.547,0.08547,False,102.2275,2.2275,0.022275,0.063195,True
time_1m,2025-10-01,MCD,0.571,0.0038929745373337266,2025-10-01,295.0667,2025-11-03,290.992,time,33,100.0,98.6191,-1.3809,-0.013809,False,102.2275,2.2275,0.022275,-0.036085,False
time_1m,2025-10-15,APP,0.701,0.05842853859795616,2025-10-15,602.3,2025-11-17,539.27,time,33,100.0,89.5351,-10.4649,-0.104649,False,100.0752,0.0752,0.000752,-0.105401,False
time_1m,2025-10-15,GOOGL,0.764,0.0334579677821798,2025-10-15,250.5398,2025-11-17,284.4634,time,33,100.0,113.5402,13.5402,0.135402,False,100.0752,0.0752,0.000752,0.13465,True
time_1m,2025-10-15,UNH,0.628,0.024777015049093132,2025-10-15,355.9706,2025-11-17,315.9233,time,33,100.0,88.7498,-11.2502,-0.112502,False,100.0752,0.0752,0.000752,-0.113254,False
