ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001628280-24-013868	/s/ Michael L. Hance, Attorney-in-Fact	29-MAR-2024
0000950170-24-038822	/s/ Lisa O. Taylor as Attorney in Fact for James Treace	29-MAR-2024
0001493152-24-012081	/s/ Daniel J. Hennessy	29-MAR-2024
0001493152-24-012080	/s/ Thomas D. Hennessy, as the Managing Member of HC PropTech III LLC	29-MAR-2024
0001493152-24-012080	/s/ Thomas D. Hennessy, as the Managing Member of HC PropTech III LLC, Managing Member of HC PropTech Partners III LLC	29-MAR-2024
0001493152-24-012082	/s/ Thomas D. Hennessy	29-MAR-2024
0001140361-24-016726	OCM HLCN HOLDINGS, L.P. By: Oaktree Fund GP, LLC Its: General Partner By: Oaktree Fund GP I, L.P. Its: Managing Member By: /s/ Henry Orren Name: Henry Orren Title: Senior Vice President	29-MAR-2024
0001140361-24-016726	BAM PARTNERS TRUST, by its trustee BAM CLASS B PARTNERS INC. By: /s/ Kathy Sarpash Name: Kathy Sarpash Title: Secretary	29-MAR-2024
0001140361-24-016726	BROOKFIELD CORPORATION By: /s/ Swati Mandava Name: Swati Mandava Title: Managing Director - Legal & Regulatory	29-MAR-2024
0001140361-24-016726	OAKTREE FUND GP, LLC By: Oaktree Fund GP I, L.P. Its: Managing Member By: /s/ Henry Orren Name: Henry Orren Title: Senior Vice President	29-MAR-2024
0001140361-24-016726	OAKTREE FUND GP I, L.P. By: /s/ Henry Orren Name: Henry Orren Title: Senior Vice President	29-MAR-2024
0001140361-24-016726	OAKTREE CAPITAL I, L.P. By: /s/ Henry Orren Name: Henry Orren Title: Senior Vice President	29-MAR-2024
0001140361-24-016726	OAKTREE CAPITAL GROUP HOLDINGS GP, LLC By: /s/ Henry Orren Name: Henry Orren Title: Senior Vice President	29-MAR-2024
0001140361-24-016726	BROOKFIELD OCM HOLDINGS, LLC By: /s/ Henry Orren Name: Henry Orren Title: Senior Vice President	29-MAR-2024
0001140361-24-016726	BROOKFIELD OAKTREE HOLDINGS, LLC By: /s/ Henry Orren Name: Henry Orren Title: Senior Vice President	29-MAR-2024
0001140361-24-016726	BROOKFIELD OCM HOLDINGS II, LLC By: /s/ Henry Orren Name: Henry Orren Title: Senior Vice President	29-MAR-2024
0001628280-24-013866	/s/ Michael L. Hance, Attorney-in-Fact	29-MAR-2024
0001628280-24-013864	/s/ Michael L. Hance, Attorney-in-Fact	29-MAR-2024
0001415889-24-009478	/s/ Tasha Grinnell, Attorney-in-fact for Tony Laday	29-MAR-2024
0001415889-24-009477	/s/ Tami Chen, Attorney-in-Fact	29-MAR-2024
