ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001209191-20-039554	/s/ Matthew H. Kegyes, Attorney-in-fact	30-JUN-2020
0001209191-20-039553	/s/ Matthew H. Kegyes, Attorney-in-fact	30-JUN-2020
0001209191-20-039552	/s/ Matthew H. Kegyes, Attorney-in-fact	30-JUN-2020
0000899243-20-018072	/s/ Lindsey Cochran, by power of attorney	30-JUN-2020
0001209191-20-039551	/s/ Matthew H. Kegyes, Attorney-in-fact	30-JUN-2020
0001567619-20-012731	/s/ Eric Fleekop, Attorney-in-Fact	30-JUN-2020
0001474506-20-000200	/s/ W. David Mannheim, by Power of Attorney	30-JUN-2020
0001209191-20-039550	/s/ W.H. Baird Garrett	30-JUN-2020
0001493152-20-012347	/s/ Robert D Ferris	30-JUN-2020
0001474506-20-000199	/s/ W. David Mannheim, by Power of Attorney	30-JUN-2020
0001493152-20-012346	/s/ Kimberly J. Grant	30-JUN-2020
0001493152-20-012345	/s/ Norman Roth	30-JUN-2020
0001493152-20-012343	/s/ Norman Roth, Attorney-in Fact for A Hadi Chaudhry	30-JUN-2020
0001493152-20-012344	/s/ Norman Roth, Attorney-in Fact for Stephen Andrew Snyder	30-JUN-2020
0000905718-20-000678	/s/ Grace Jimenez, Chief Financial Officer of Park West Asset Management LLC	30-JUN-2020
0001474506-20-000198	/s/ W. David Mannheim, by Power of Attorney	30-JUN-2020
0000950103-20-012972	/s/ Christopher Stephens, as Attorney-in-Fact, for Lowry Baldwin	30-JUN-2020
0000950103-20-012971	/s/ Christopher Stephens as Attorney-in Fact, for Elizabeth Krystyn	30-JUN-2020
0000950103-20-012970	/s/ Christopher Stephens, as Attorney-in-Fact, for Laura Sherman	30-JUN-2020
0000950103-20-012969	/s/ Christopher Stephens, as Attorney-in-Fact, for Baldwin Insurance Group Holdings, LLC	30-JUN-2020
0000950103-20-012968	/s/ Christopher Stephens as Attorney-in-Fact, for Loper Enterprises, LLC	30-JUN-2020
0001104659-20-079258	Jessica M. Browne, as attorney-in-fact	30-JUN-2020
0000893877-20-000028	/s/ Steven H. Hull, attorney-in-fact for Sarah Bany	30-JUN-2020
0001213900-20-016391	/s/ Sarah Ross, Attorney-in-Fact for John James	30-JUN-2020
0001213900-20-016391	/s/ Sarah Ross, Attorney-in-Fact for Fusion Sponsor LLC	30-JUN-2020
0000899243-20-018068	/s/ Rebecca A. Isakson by Rebecca A. Isakson Attorney in Fact for W. Corey West (POA filed 06/25/19)	30-JUN-2020
0000899243-20-018067	/s/ Rebecca A. Isakson by Rebecca A. Isakson, Attorney in Fact for Dorian Daley (POA filed 03/22/19)	30-JUN-2020
0000899243-20-018066	/s/ Rebecca A. Isakson By Rebecca A. Isakson, Attorney in Fact for Jeffrey Henley (POA Filed 03/20/19)	30-JUN-2020
0000899243-20-018063	/s/ Rebecca Isakson, by Rebecca Isakson, Attorney in Fact for Edward Screven (POA filed 12/07/2018)	30-JUN-2020
0001506293-20-000132	Monifa Clayton, Attorney-in-Fact	30-JUN-2020
0000899243-20-018061	/s/ Susan Helfrick	30-JUN-2020
0001104659-20-079248	/s/ Gavin Wood	30-JUN-2020
0000899243-20-018058	/s/ Lisa Yun, Attorney-in-Fact for Marc Benioff	30-JUN-2020
0000899243-20-018057	/s/ Lisa Yun, Attorney-in-Fact for Parker Harris	30-JUN-2020
