ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001679788-22-000078	2298606	Restricted Stock Units			F1	30-JUN-2022				4	A	0				319.0				0.0		A			F2		F3	Class A Common Stock		319.0				4908.0				D			
0001415889-22-007134	2298361	Stock Option (Right to Buy)		50.64		21-JUN-2022				4	A	0				5300.0				0.0		A			F2	21-JUN-2032		Common Stock		5300.0				5300.0				D			
0001415889-22-007133	2298618	Stock Option (Right to Buy)		50.64		21-JUN-2022				4	A	0				5300.0				0.0		A			F2	21-JUN-2032		Common Stock				5300.0		5300.0				D			
0001415889-22-007132	2298576	Stock Option (Right to Buy)		50.64		21-JUN-2022				4	A	0				5300.0				0.0		A			F2	21-JUN-2032		Common Stock		5300.0				5300.0				D			
0001415889-22-007131	2298925	Stock Option (Right to Buy)		50.64		21-JUN-2022				4	A	0				5300.0				0.0		A			F2	21-JUN-2032		Common Stock		5300.0				5300.0				D			
0001415889-22-007130	2298331	Stock Option (Right to Buy)		50.64		21-JUN-2022				4	A	0						5300.0		0.0		A			F2	21-JUN-2032		Common Stock		5300.0				5300.0				D			
0001415889-22-007129	2298393	Stock Option (Right to Buy)		50.64		21-JUN-2022				4	A	0				5300.0				0.0		A			F2	21-JUN-2032		Common Stock		5300.0				5300.0				D			
0001415889-22-007128	2298360	Stock Option (Right to Buy)		50.64		21-JUN-2022				4	A	0				5300.0				0.0		A			F2	21-JUN-2032		Common Stock		5300.0				5300.0				D			
0000897101-22-000673	2298774	Non-Qualified Stock Option (right to buy)		70.26		28-JUN-2022				4	A	0				24908.0				0.0		A		28-JUN-2026		28-JUL-2032		Common Stock		24908.0				24908.0				D			
0000897101-22-000672	2298577	Non-Qualified Stock Option (right to buy)		70.26		28-JUN-2022				4	A	0				19571.0				0.0		A		28-JUN-2026		28-JUL-2032		Common Stock		19571.0				19571.0				D			
0000897101-22-000671	2298729	Non-Qualified Stock Option (right to buy)		70.26		28-JUN-2022				4	A	0				23129.0				0.0		A		28-JUN-2026		28-JUL-2032		Common Stock		23129.0				23129.0				D			
0000897101-22-000670	2298927	Non-Qualified Stock Option (right to buy)		70.26		28-JUN-2022				4	A	0				17792.0				0.0		A		28-JUN-2026		28-JUL-2032		Common Stock		17792.0				17792.0				D			
0000897101-22-000669	2298682	Non-Qualified Stock Option (right to buy)		70.26		28-JUN-2022				4	A	0				5338.0				0.0		A		28-JUN-2026		28-JUL-2032		Common Stock		5338.0				5338.0				D			
0000897101-22-000668	2298866	Non-Qualified Stock Option (right to buy)		70.26		28-JUN-2022				4	A	0				16902.0				0.0		A		28-JUN-2026		28-JUL-2032		Common Stock		16902.0				16902.0				D			
0000897101-22-000667	2298756	Non-Qualified Stock Option (right to buy)		70.26		28-JUN-2022				4	A	0				40920.0				0.0		A		28-JUN-2026		28-JUL-2032		Common Stock		40920.0				40920.0				D			
0000897101-22-000666	2298425	Non-Qualified Stock Option (right to buy)		70.26		28-JUN-2022				4	A	0				31135.0				0.0		A		28-JUN-2026		28-JUL-2032		Common Stock		31135.0				31135.0				D			
