ACCESSION_NUMBER	NONDERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001868645-22-000001	6184592	Class A common stock		28-SEP-2022				4	C	0				2835000.0			F1	A		3363175.0				I		Indirect	F2
0001868212-22-000002	6185104	Class A common stock		28-SEP-2022				4	C	0				2835000.0			F1	A		3363175.0				I		Indirect	F2
0001104659-22-104798	6184705	Series X Preferred Stock		28-SEP-2022				4	J	0	F1			5.0			F1	A		5.0				I	F2	NovaQuest Co-Investment Fund XV, L.P.	
0001104659-22-104797	6184933	Common Stock, par value $0.001		28-SEP-2022				4	A	0	F1			2171214.0			F1	A		2171214.0				D			
0001104659-22-104796	6184656	Common Stock, par value $0.001		28-SEP-2022				4	A	0	F1			2171214.0			F1	A		2171214.0				D			
0001104659-22-104793	6184956	Common Stock, par value $0.001		28-SEP-2022				4	A	0	F1			651364.0			F1	A		651364.0				D			
0001868205-22-000002	6185056	Class A common stock		28-SEP-2022				4	C	0				2835000.0			F1	A		3363175.0	F2			D			
0001209191-22-051688	6185040	Common Stock		28-SEP-2022				4	A	0				1703577.0		2.81		A		5066290.0				I	F1	22NW Fund, LP	F2
0001869931-22-000002	6184322	Class A common stock		28-SEP-2022				4	C	0				10000.0			F1	A		10000.0				D			
0001388658-22-000146	6184803	Common Stock		29-SEP-2022				4	S	0	F1			2000.0		125.0		D		27702.0				D			
0001140361-22-035564	6184877	Ordinary Shares, par value $0.01 per share		28-SEP-2022				4	S	0	F1			129.0		58.93		D		12793.0				D			
0001140361-22-035564	6184875	Ordinary Shares, par value $0.01 per share		28-SEP-2022				4	S	0	F1			40.0		56.19	F7	D		13165.0				D			
0001140361-22-035564	6184874	Ordinary Shares, par value $0.01 per share		28-SEP-2022				4	S	0	F1			1342.0		55.32	F6	D		13205.0				D			
0001140361-22-035564	6184873	Ordinary Shares, par value $0.01 per share		28-SEP-2022				4	S	0	F1			4748.0		54.38	F5	D		14547.0				D			
0001140361-22-035564	6184869	Ordinary Shares, par value $0.01 per share		28-SEP-2022				4	S	0	F1			128.0		49.41		D		28032.0				D			
0001140361-22-035564	6184870	Ordinary Shares, par value $0.01 per share		28-SEP-2022				4	S	0	F1			552.0		51.3	F2	D		27480.0				D			
0001140361-22-035564	6184876	Ordinary Shares, par value $0.01 per share		28-SEP-2022				4	S	0	F1			243.0		57.7	F8	D		12922.0				D			
0001140361-22-035564	6184868	Ordinary Shares, par value $0.01 per share		28-SEP-2022				4	S	0	F1			1045.0		48.09		D		28160.0				D			
0001140361-22-035564	6184872	Ordinary Shares, par value $0.01 per share		28-SEP-2022				4	S	0	F1			5852.0		53.4	F4	D		19295.0				D			
0001140361-22-035564	6184871	Ordinary Shares, par value $0.01 per share		28-SEP-2022				4	S	0	F1			2333.0		52.44	F3	D		25147.0				D			
0001140361-22-035564	6184867	Ordinary Shares, par value $0.01 per share		28-SEP-2022				4	M	0				16412.0		6.41		A		29205.0				D			
0001140361-22-035563	6184460	Ordinary Shares, par value $0.01 per share		28-SEP-2022				4	M	0				10000.0		6.41		A		10000.0				D			
0001140361-22-035563	6184461	Ordinary Shares, par value $0.01 per share		28-SEP-2022				4	S	0	F1			10000.0		48.09		D		0.0				D			
0001140361-22-035562	6184578	Ordinary Shares, par value $0.01 per share		28-SEP-2022				4	S	0	F1			25000.0		48.09		D		1219.0				D			
0001140361-22-035562	6184577	Ordinary Shares, par value $0.01 per share		28-SEP-2022				4	M	0				25000.0		6.41		A		26219.0				D			
0001140361-22-035561	6185110	Ordinary Shares, par value $0.01 per share		28-SEP-2022				4	M	0				31666.0		6.41		A		31909.0				D			
0001140361-22-035561	6185111	Ordinary Shares, par value $0.01 per share		28-SEP-2022				4	S	0	F1			31666.0		48.09		D		243.0				D			
0001868575-22-000002	6184771	Class A common stock		28-SEP-2022				4	C	0				10000.0			F1	A		10000.0				D			
0001104659-22-104782	6185121	Class A Common Stock		28-SEP-2022				4	S	0	F1			36419.0		13.59	F2	D		396603.0				D			
0001104659-22-104782	6185123	Class A Common Stock		30-SEP-2022				4	S	0	F1			28900.0		13.94	F4	D		333773.0				D			
0001104659-22-104782	6185122	Class A Common Stock		29-SEP-2022				4	S	0	F1			33930.0		13.5	F3	D		362673.0				D			
0001209191-22-051687	6184862	Class A Common Stock		30-SEP-2022				4	P	0				1532232.0		10.01	F1	A		1532232.0				I		Held by Trust	
0001617726-22-000001	6185060	Class A common stock		28-SEP-2022				4	C	0				10000.0			F1	A		10000.0				D			
0001654954-22-013156	6184605	Common Shares		28-SEP-2022				4	S	false				35000.0		1.1	F1	D		2380350.0				D			
0001654954-22-013156	6184606	Common Shares		29-SEP-2022				4	S	false				17500.0		1.07	F2	D		2362850.0				D			
