ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001415889-24-018514	1772867	Resticted Stock Units			F5				F4		F4	Class A Common Stock		13500.0								D			
0001415889-24-018514	1772866	Stock Option (Right to Buy)		34.25					F3	22-DEC-2031		Class A Common Stock		36667.0								D			
0001415889-24-018514	1772865	Stock Option (Right to Buy)		4.56					F2	31-JUL-2030		Class A Common Stock		6247.0								D			
0001415889-24-018514	1772864	Stock Option (Right to Buy)		4.56					F1	12-JUN-2029		Class A Common Stock		108.0								D			
0001415889-24-018514	1772868	Restricted Stock Units			F5				F6		F6	Class A Common Stock		25000.0								D			
0001415889-24-018514	1772869	Restricted Stock Units			F5				F7		F7	Class A Common Stock		130000.0								D			
0001415889-24-018514	1772870	Restricted Stock Units			F5				F8		F8	Class A Common Stock		30000.0								D			
0001415889-24-018514	1772871	Restricted Stock Units			F5				F9		F9	Class A Common Stock		50000.0								D			
0000907242-24-000004	1942005	Options / Right to Buy		45.32				01-NOV-2020		01-NOV-2027		Common Stock		66668.0				666668.0				D			
0000907242-24-000004	1942006	Options / Right to Buy		23.08				01-NOV-2019		01-NOV-2026		Common Stock		66666.0				666668.0				D			
0000907242-24-000004	1942000	Options / Right to Buy		76.89				31-DEC-2025		31-DEC-2032		Common Stock		66666.0				666668.0				D			
0000907242-24-000004	1942008	Options / Right to Buy		12.32				21-OCT-2017		21-OCT-2024		Common Stock		66668.0				666668.0				D			
0000907242-24-000004	1942007	Options / Right to Buy		17.62				21-OCT-2018		21-OCT-2025		Common Stock		66666.0				666668.0				D			
0000907242-24-000004	1942004	Options / Right to Buy		39.82				01-NOV-2021		01-NOV-2028		Common Stock		66666.0				666668.0				D			
0000907242-24-000004	1942003	Options / Right to Buy		43.24				01-NOV-2022		01-NOV-2029		Common Stock		66666.0				666668.0				D			
0000907242-24-000004	1942002	Options / Right to Buy		61.22				31-DEC-2023		31-DEC-2030		Common Stock		66668.0				666668.0				D			
0000907242-24-000004	1942001	Options / Right to Buy		73.95				31-DEC-2024		31-DEC-2031		Common Stock		66666.0				666668.0				D			
0000907242-24-000004	1941999	Options / Right to Buy		69.15				31-DEC-2026		31-DEC-2033		Common Stock		66668.0				666668.0				D			
0001185185-24-000665	1733315	Series A Preferred		0.0					F2		F2	Common Stock		16000.0	F2			16000.0				D	F1		
0001750219-24-000029	1912783	OPTIONS		0.01				12-JAN-2024		12-JAN-2029		COMMON		5000000.0				5000000.0				D			
0001750219-24-000029	1912784	OPTIONS		0.01				12-JUL-2024		12-JAN-2029		COMMON		5000000.0				10000000.0	F2			D			
0001750219-24-000029	1912782	WARRANTS		0.01				25-APR-2024		25-APR-2034		COMMON		25000000.0				40000000.0	F1			D			
0001750219-24-000029	1912781	WARRANTS		0.01				30-MAY-2022		30-MAY-2027		COMMON		15000000.0				15000000.0				D			
0001934737-24-000029	1717975	WARRANTS		0.01				30-MAY-2022		30-MAY-2027		COMMON		20000000.0				20000000.0				D			
0001934737-24-000029	1717976	WARRANTS		0.01				25-APR-2024		25-APR-2034		COMMON		25000000.0				45000000.0	F1			D			
0001934737-24-000029	1717977	OPTIONS		0.01				12-JAN-2024		12-JAN-2029		COMMON		5000000.0				5000000.0				D			
0001934737-24-000029	1717978	OPTIONS		0.01				12-JUL-2024		12-JAN-2029		COMMON		5000000.0				10000000.0	F2			D			
0001585521-24-000132	1749331	Restricted Stock Units			F7				F9		F9	Class A Common Stock		131772.0				131772.0				D			
0001585521-24-000132	1749330	Restricted Stock Units			F7				F8		F8	Class A Common Stock		167184.0				167184.0				D			
0001585521-24-000132	1749329	Employee Stock Option (right to buy)		3.77					F6	24-SEP-2028		Class B Common Stock	F5	100000.0				100000.0				D			
0001104659-24-076423	1767282	Stock Options (Right to Buy)		3.38					F1	14-MAR-2034		Common Stock		40000.0								D			
0001601830-24-000095	1946802	Stock Option (Right to Buy)		8.55					F4	01-FEB-2033		Class A Common Stock		0.0				434122.0				D			
0001601830-24-000095	1946803	Stock Option (Right to Buy)		11.4					F5	04-FEB-2032		Class A Common Stock		0.0				159226.0				D			
0001601830-24-000095	1946804	Stock Option (Right to Buy)		11.4				04-FEB-2022		04-FEB-2032		Class A Common Stock		0.0				4784.0				D			
0001601830-24-000095	1946805	Stock Option (Right to Buy)		2.48					F6	30-DEC-2030		Class A Common Stock		0.0				150000.0				D			
0001601830-24-000095	1946806	Stock Option (Right to Buy)		10.09					F7	09-FEB-2034		Class A Common Stock		0.0				447917.0				D			
0001433195-24-000080	1792331	Class B Common Stock		0.0					F6, F7		F6, F7	Class A Common Stock		12500.0				12500.0				I		By Spouse	
0000921895-24-001488	1856139	Pre-Funded Warrants to Purchase Common Stock	F1	0.0					F7		F7	Common Stock, $0.0001 par value		375856.0				375856.0				D	F3	See footnote	F5
0000921895-24-001488	1856138	Pre-Funded Warrants to Purchase Common Stock	F1	0.0					F7		F7	Common Stock, $0.0001 par value		550425.0				550425.0				D	F2	See footnote	F5
0000921895-24-001488	1856142	Stock Option (Right to Buy)	F5	49.1					F8	15-JUN-2031		Common Stock, $0.0001 par value		20063.0				20063.0				I	F5		
0000921895-24-001488	1856141	Stock Option (Right to Buy)	F5	20.0					F8	19-AUG-2030		Common Stock, $0.0001 par value		40127.0				40127.0				I	F5	See footnote	F5
0000921895-24-001488	1856144	Stock Option (Right to Buy)	F5	27.67					F8	14-JUN-2033		Common Stock, $0.0001 par value		12000.0				12000.0				I	F5		
0000921895-24-001488	1856143	Stock Option (Right to Buy)	F5	14.18					F8	14-JUN-2032		Common Stock, $0.0001 par value		12000.0				12000.0				I	F5		
0000921895-24-001488	1856140	Pre-Funded Warrants to Purchase Common Stock	F1	0.0					F7		F7	Common Stock, $0.0001 par value		52733.0				52733.0				D	F4	See footnote	F5
0001581296-24-000004	1912215	Operating Partnership Units	F1		F2				F3		F3	Common Stock, par value $0.01		49277.0				49277.0				I		See Footnote	F5
0001415889-24-018453	1719617	Class B Common Stock			F7				F7		F7	Class A Common Stock		6000000.0				6000000.0				I		I	F13
0001415889-24-018453	1719616	Class B Common Stock			F7				F7		F7	Class A Common Stock		28799989.0				28799989.0				I		I	F12
0001415889-24-018453	1719615	Class B Common Stock			F7				F7		F7	Class A Common Stock		6927672.0				6927672.0				I		I	F11
0001415889-24-018453	1719614	Class B Common Stock			F7				F7		F7	Class A Common Stock		7563458.0				7563458.0				I		I	F10
0001415889-24-018453	1719613	Class B Common Stock			F7				F7		F7	Class A Common Stock		5181574.0				5181574.0				I		I	F9
0001415889-24-018453	1719612	Class B Common Stock			F7				F7		F7	Class A Common Stock		35190866.0				35190866.0				I		I	F6
0000950170-24-079087	1916252	Stock Options	F1	200.41				23-JAN-2024		23-JAN-2033		Common Stock		9449.0				9449.0				D			
0001415889-24-018414	1838026	Time-Based Restricted Stock Unit		0.0					F1		F1	Common Stock		1300.0								D			
0001477932-24-003949	1864542	Stock Option (Right to Buy)		0.0					F2	31-DEC-2028		Common Stock		1000000.0								D			
0001062993-24-013136	1930494	Warrants		0.01					F6	17-MAY-2034		Common Stock		7500000.0				7500000.0				I		By THA Holdings LLC	
0001062993-24-013136	1930496	Warrants		4.2				12-AUG-2022		12-AUG-2027		Common Stock		110000.0				110000.0				I		by THA Family II Limited Liability Company	
0001062993-24-013136	1930495	Warrants		4.2				12-AUG-2022		12-AUG-2027		Common Stock		250000.0				250000.0				I		by THA Family II Limited Liability Company	
0001127602-24-019360	1845117	Employee Stock Option (Right to Buy)		12.0					F2	29-JUL-2030		Common Stock		300000.0								D			
0001127602-24-019360	1845118	Employee Stock Option (Right to Buy)		26.0					F2	28-JUN-2031		Common Stock		150000.0								D			
0001127602-24-019360	1845116	Employee Stock Option (Right to Buy)		7.45					F2	13-NOV-2028		Common Stock		93383.0								D			
0000950170-24-079036	1854613	Warrant (right to buy)		0.01				21-JUN-2024			F3	Common Stock		43276194.0	F4							I		See Footnotes	F1, F2
0000950170-24-079032	1822890	Series H Preferred	F9		F9				F6, F9		F9	Common Stock		207300.0								I		See Footnotes	F4, F2, F3
0000950170-24-079032	1822889	Series H Preferred	F9		F9				F6, F9		F9	Common Stock		22600.0								I		See Footnotes	F1, F2, F3
0000950170-24-079032	1822888	Series G Preferred	F8		F8				F6, F8		F8	Common Stock		982600.0								I		See Footnotes	F4, F2, F3
0000950170-24-079032	1822887	Series G Preferred	F8		F8				F6, F8		F8	Common Stock		107500.0								I		See Footnotes	F1, F2, F3
0000950170-24-079032	1822886	Series F Preferred	F7		F7				F6, F7		F7	Common Stock		263900.0								I		See Footnotes	F4, F2, F3
0000950170-24-079032	1822885	Series F Preferred	F7		F7				F6, F7		F7	Common Stock		28900.0								I		See Footnotes	F1, F2, F3
0000950170-24-079032	1822884	Series E Preferred	F5		F5				F5, F6		F5	Common Stock		4619300.0								I		See Footnotes	F4, F2, F3
0000950170-24-079032	1822883	Series E Preferred	F5		F5				F5, F6		F5	Common Stock		505300.0								I		See Footnotes	F1, F2, F3
0000950170-24-078884	1950599	Employee Non-Qualified Stock Option (Right to Buy)		29.48	F5			24-JUN-2023	F7	24-JUN-2032		Common Shares		3776.0	F5			3776.0				D			
0000950170-24-078884	1950600	Employee Non-Qualified Stock Option (Right to Buy)		44.15	F5			30-JUN-2024	F8	30-JUN-2033		Common Shares		3147.0	F5			3147.0				D			
0000950170-24-078884	1950598	Employee Non-Qualified Stock Option (Right to Buy)		38.25	F5			25-JUN-2022	F6	25-JUN-2031		Common Shares		1258.0	F5			1258.0				D			
0000950170-24-078843	1908096	Phantom Stock Acquired Under Deferred Compensation Plan			F3				F4		F4	Common Shares		0.14				55.74	F5			D			
0001085146-24-002756	1988367	Redeemable Warrants		11.5					F3		F4	Class A Common Stock		14557.0								I		AQR UCITS Funds - AQR Corporate Arbitrage UCITS Fund	F1
0001085146-24-002756	1988370	Redeemable Warrants		11.5					F3		F4	Class A Common Stock		4323.0								I		AQR Tax Aware Legacy Fund, LLC	F1, F2
0001085146-24-002756	1988369	Redeemable Warrants		11.5					F3		F4	Class A Common Stock		7248.0								I		AQR Absolute Return Master Account, L.P.	F1, F2
0001085146-24-002756	1988362	Redeemable Warrants		11.5					F3		F4	Class A Common Stock		235915.0								I		AQR Global Alternative Investment Offshore Fund, L.P.	F1, F2
0001085146-24-002756	1988371	Redeemable Warrants		11.5					F3		F4	Class A Common Stock		72.0								I		AQR Arbitrage MA Offshore Fund, L.P.	F1, F2
